"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_ability_holdout_friendly_skewer_range"					"DISTANCE:"
		"DOTA_Tooltip_ability_holdout_friendly_skewer_skewer_speed"				"SPEED:"

		"DOTA_Tooltip_ability_mirana_moonfall"											"Moonfall"
		"DOTA_Tooltip_ability_mirana_moonfall_Description"								"Calls down a chunk of the moon to damage and stun enemies in a large radius."
		"DOTA_Tooltip_ability_mirana_moonfall_Lore"										"The Goddess' intervention on behalf of her loyal servant shakes the heavens and earth."
		"DOTA_Tooltip_ability_mirana_moonfall_radius"									"RADIUS:"
		"DOTA_Tooltip_ability_mirana_moonfall_damage"							  		"DAMAGE:"
		
		
		"DOTA_Tooltip_ability_holdout_mirana_arrow"										"Sacred Arrow"
		"DOTA_Tooltip_ability_holdout_mirana_arrow_description"							"Fires an arrow with deadly precision, dealing large damage and stunning the first enemy unit it strikes. Stun duration increases based on distance to target, ranging from 0.5 to 5 seconds. Bonus damage up to 100 is applied based on distance to target."
		"DOTA_Tooltip_ability_holdout_mirana_arrow_Lore"								"Lunar energies make the Princess of the Moon's arrows more deadly than most."
		"DOTA_Tooltip_ability_holdout_mirana_arrow_Note0"								"For every 150 distance the arrow travels, the stun duration upon impact increases by 0.5 seconds."
		"DOTA_Tooltip_ability_holdout_mirana_arrow_Note1"								"Sacred Arrow hits invisible units, but only deals damage; no stun is applied."
		"DOTA_Tooltip_ability_holdout_mirana_arrow_arrow_range"							"RANGE:"
		"DOTA_Tooltip_ability_holdout_mirana_arrow_arrow_min_stun"						"MINIMUM STUN:"
		"DOTA_Tooltip_ability_holdout_mirana_arrow_arrow_max_stun"						"MAXIMUM STUN:"
		"DOTA_Tooltip_ability_holdout_mirana_arrow_bonus_damage"						"BONUS DAMAGE:"

		"DOTA_Tooltip_ability_axe_battle_rage"									"Battle Rage"
		"DOTA_Tooltip_ability_axe_battle_rage_Description"						"Sends target allied unit into a Battle Rage. When affected by Battle Rage, all damage dealt by that unit steals life."
		"DOTA_Tooltip_ability_axe_battle_rage_Lore"								"Mogul Khan's rage propels him through terrifying acts of brutality and destruction."
		"DOTA_Tooltip_ability_axe_battle_rage_duration"							"DURATION:"
		"DOTA_Tooltip_ability_axe_battle_rage_heal_multiplier"					"%LIFESTEAL:"
		"DOTA_Tooltip_axe_battle_rage_modifier"									"Battle Hunger"
		"DOTA_Tooltip_axe_battle_rage_modifier_Description"						"The hunger of battle steals life on damage dealt."
		
		"DOTA_Tooltip_ability_windrunner_shackleshot_shackle_count"						"SHACKLE COUNT:"

		"DOTA_Tooltip_ability_windrunner_powershot_Description"							"Windranger charges her bow for up to 1 second for a single powerful shot, which deals more damage the longer it is charged. The arrow damages enemies and destroys trees along its path."

		"DOTA_Tooltip_ability_rubick_spell_steal"								"Spell Borrow"		
		"DOTA_Tooltip_ability_rubick_spell_steal_Description"								"Rubick can borrow spells from his allies for use against the Horde"
		
		"npc_dota_venomancer_scourge_ward_1"		"Scourge Ward"
		"npc_dota_venomancer_scourge_ward_2"		"Scourge Ward"
		"npc_dota_venomancer_scourge_ward_3"		"Scourge Ward"
		"npc_dota_venomancer_scourge_ward_4"		"Scourge Ward"
		
		"DOTA_Tooltip_ability_holdout_scourge_venomous_gale"									"Scourge Gale"
        "DOTA_Tooltip_ability_holdout_scourge_venomous_gale_Description"						"Launches a ball of venom in a line, poisoning enemy units so that they take both initial damage and damage over time, as well as suffering slowed movement.  Venomous Gale deals damage every 3 seconds over its duration."
        "DOTA_Tooltip_ability_holdout_scourge_venomous_gale_Lore"							"A concoction of various stings, poisons, and toxins gathered from the jungles of Jidi Isle, victims surviving it are rare."
        "DOTA_Tooltip_ability_holdout_scourge_venomous_gale_gale_Note0"							"Units afflicted by Venomous Gale can be denied when their HP drops below 25%."
        "DOTA_Tooltip_ability_holdout_scourge_venomous_gale_Note1"							"Duration damage is dealt every 3 seconds."
        "DOTA_Tooltip_ability_holdout_scourge_venomous_gale_Note2"							"Slow starts at 50%, and decreases as time passes."
        "DOTA_Tooltip_ability_holdout_scourge_venomous_gale_duration"						"DURATION:"
        "DOTA_Tooltip_ability_holdout_scourge_venomous_gale_strike_damage"					"STRIKE DAMAGE:"
        "DOTA_Tooltip_ability_holdout_scourge_venomous_gale_tick_damage"						"DAMAGE OVER TIME:"
        "DOTA_Tooltip_ability_holdout_scourge_venomous_gale_movement_slow"					"%SLOW:"
        "DOTA_Tooltip_modifier_holdout_scourge_gale"								"Scourge Gale"
        "DOTA_Tooltip_modifier_holdout_scourge_gale_Description"					"Slowed and taking damage over time."
        "DOTA_Tooltip_ability_holdout_scourge_ward"									"Scourge Ward"
        "DOTA_Tooltip_ability_holdout_scourge_ward_Description"						"<font color='#70EA72'>Summons a scourge ward to attack enemy units and structures. The ward is immune to magic. Scourge Wards can use a less powerful version of Venomous Gale, and the level is equivalent to the level of Venomancer's Venomous Gale.</font>"
        "DOTA_Tooltip_ability_holdout_scourge_ward_Lore"								"A mixture of his old herbalist talents and newfound toxic mastery creates a living embodiment of plague."
        "DOTA_Tooltip_ability_holdout_scourge_ward_duration"							"DURATION:"
        "DOTA_Tooltip_ability_holdout_scourge_ward_ward_hp_tooltip"					"WARD HP:"
        "DOTA_Tooltip_ability_holdout_scourge_ward_ward_damage_tooltip"				"WARD DAMAGE:"
		
		"DOTA_Tooltip_modifier_keeper_of_the_light_mana_leak_hoard_mode"								"Health Pot"
		"DOTA_Tooltip_modifier_keeper_of_the_light_mana_leak_hoard_mode_heal_tooltip"			"Heal:"
		
		"DOTA_Tooltip_ability_templar_assassin_psionic_trap_holdout"				"Psionic Trap"
		"DOTA_Tooltip_ability_templar_assassin_psionic_trap_holdout_Lore"			"Calling upon the reach of the Hidden Temple, none escape the eye of the Templar."
		"DOTA_Tooltip_ability_templar_assassin_psionic_trap_holdout_Description"	"Templar Assassin places mystical traps that invisibly monitor enemy movement. When sprung, at her command, they exert a slowing influence of 30%% in the area. Traps charge up to slow more by 5%% for each second up to 50%%."
		"DOTA_Tooltip_ability_templar_assassin_psionic_trap_holdout_Note0"			"Traps last indefinitely."
		"DOTA_Tooltip_ability_templar_assassin_psionic_trap_holdout_Note1"			"They have invisibility that fades in over 2 seconds, magic immunity, and 100 HP."
		"DOTA_Tooltip_ability_templar_assassin_psionic_trap_holdout_Note2"			"Traps have 400/400 vision range and don't prevent neutral camps from spawning."
		"DOTA_Tooltip_ability_templar_assassin_psionic_trap_holdout_max_traps"		"MAX TRAPS:"
	
		"DOTA_Tooltip_ability_keeper_of_the_light_mana_overload"					"Mana Overload"
		"DOTA_Tooltip_ability_keeper_of_the_light_mana_overload_Description"		"Assaults an enemy with pure magical essence, causing heavy damage. If they die during the assault, they energy will burst forth, damaging all nearby enemies."
		"DOTA_Tooltip_ability_keeper_of_the_light_mana_overload_Lore"				"Ezalor calls upon Primordial harmony, overwhelming his enemies with its power."
		"DOTA_Tooltip_ability_keeper_of_the_light_mana_overload_damage"				"DAMAGE PER INTERVAL:"
		"DOTA_Tooltip_ability_keeper_of_the_light_mana_overload_think_interval"		"INTERVAL:"
		"DOTA_Tooltip_ability_keeper_of_the_light_mana_overload_explode_damage"		"EXPLODE DAMAGE:"
		"DOTA_Tooltip_ability_keeper_of_the_light_mana_overload_explode_radius"		"EXPLODE RADIUS:"

		"DOTA_Tooltip_ability_phantom_assassin_stifling_dagger_datadriven"							"Stifling Dagger"
        "DOTA_Tooltip_ability_phantom_assassin_stifling_dagger_datadriven_Description"				"Throws a dagger slowing the enemy unit's movement speed, dealing %base_damage%+%attack_factor_tooltip%%% of Phantom Assassin's attack damage as physical damage and applying attack effects from items and abilities."
        "DOTA_Tooltip_ability_phantom_assassin_stifling_dagger_datadriven_Note0"								"If an attack effect is chance-based, the chance of its application will be the same as its chance to occur."
        "DOTA_Tooltip_ability_phantom_assassin_stifling_dagger_datadriven_Lore"					"The first skill learned by the Sisters of the Veil often signals an incoming hit."
        "DOTA_Tooltip_ability_phantom_assassin_stifling_dagger_datadriven_move_slow"				"%MOVE SLOW:"
        "DOTA_Tooltip_ability_phantom_assassin_stifling_dagger_datadriven_duration"				"SLOW DURATION:"
        "DOTA_Tooltip_ability_phantom_assassin_stifling_dagger_datadriven_base_damage"				"BASE DAMAGE:"
        "DOTA_Tooltip_ability_phantom_assassin_stifling_dagger_datadriven_attack_factor_tooltip"   "%ATTACK DAMAGE:"
        "DOTA_Tooltip_ability_phantom_assassin_stifling_dagger_datadriven_radius"				"RADIUS:"
		
		"DOTA_Tooltip_ability_holdout_gush"											"Gush"
		"DOTA_Tooltip_ability_holdout_gush_Description"								"Summons a gush of water to slow and weaken the armor of enemies caught in its path."
		"DOTA_Tooltip_ability_holdout_gush_Lore"										"During his championship of the Sunken Isles, Leviathan gained mastery over the open sea."
		"DOTA_Tooltip_ability_holdout_gush_movement_speed"							"%SLOW:"
		"DOTA_Tooltip_ability_holdout_gush_armor_bonus"								"ARMOR REDUCTION:"
		"DOTA_Tooltip_ability_holdout_gush_duration"								"DURATION:"
		
		"DOTA_Tooltip_ability_holdout_multishot"										"Quelling Shot"
		"DOTA_Tooltip_ability_holdout_multishot_Description"							"<font color='#70EA72'>Drow's arrow splits in front of her in a cone shape, dealing less damage but cleaving multiple targets.  Each arrow can only hit a target once.  If Frost Arrows is activated, Quelling Shot's arrows will be converted to Frost Arrows, increasing the mana cost per arrow.</font>\n\nQuelling Shot is a Unique Attack Modifier, and does not stack with other Unique Attack Modifiers."
		"DOTA_Tooltip_ability_holdout_multishot_arrow_range"							"RANGE:"
		"DOTA_Tooltip_ability_holdout_multishot_arrow_count"							"ARROW COUNT:"
		"DOTA_Tooltip_ability_holdout_multishot_damage_reduction_pct"					"%DAMAGE REDUCTION:"

		"DOTA_Tooltip_ability_queenofpain_shadow_strike_datadriven"										"Poison Flurry"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_datadriven_Description"							"Hurls poisoned daggers at a group of enemy units. Deals large initial damage, and then deals damage over time. The poisoned units have their movement speed slowed for 15 seconds. An instance of damage is dealt every 3 seconds."
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_datadriven_duration_damage"							"DAMAGE OVER TIME:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_datadriven_strike_damgae"							"INITIAL DAMAGE:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_datadriven_movement_slow"							"SLOW:"
		"DOTA_Tooltip_ability_queenofpain_shadow_strike_datadriven_radius"					"RADIUS:"
		"DOTA_Tooltip_modifier_queenofpain_shadow_strike_debuff_datadriven"					"Poisoned"

		"DOTA_Tooltip_ability_furion_force_of_nature_hoard"										"Force Of Nature"
		"DOTA_Tooltip_ability_furion_force_of_nature_hoard_Description"							"Treant Protector frees his brethren to aid as guardians of nature - summons powerful treants under your control"
		"DOTA_Tooltip_ability_furion_force_of_nature_hoard_cooldown"							"COOLDOWN:"
		"DOTA_Tooltip_ability_furion_force_of_nature_hoard_max_treants"							"MAX TREANTS:"
		"DOTA_Tooltip_ability_furion_force_of_nature_hoard_duration"					"TREANT DURATION:"

		"DOTA_Tooltip_ability_faceless_void_chronosphere_hoard"										"Chronosphere"
		"DOTA_Tooltip_ability_faceless_void_chronosphere_hoard_Description"							"Faceless Void locks an area in time, freezing enemies but allowing himself and allies to pass through unaffected"
		"DOTA_Tooltip_ability_faceless_void_chronosphere_hoard_cooldown"		"COOLDOWN:"
		"DOTA_Tooltip_ability_faceless_void_chronosphere_hoard_cooldown_scepter"		"COOLDOWN SCEPTER:"
		"DOTA_Tooltip_ability_faceless_void_chronosphere_hoard_duration"							"DURATION:"
		"DOTA_Tooltip_ability_faceless_void_chronosphere_hoard_duration_scepter"					"SCEPTER DURATION:"
		"DOTA_Tooltip_ability_faceless_void_chronosphere_hoard_radius"					"RADIUS:"
		
		"DOTA_Tooltip_ability_holdout_glacier_arrows"									"Frost Arrows"
		"DOTA_Tooltip_ability_holdout_glacier_arrows_Description"						"Adds a freezing effect to Drow's attacks, slowing enemy movement.  <font color='#70EA72'>Units are knocked back by the initial strike.</font>\n\nFrost Arrows is a Unique Attack Modifier, and does not stack with other Unique Attack Modifiers."
		"DOTA_Tooltip_ability_holdout_glacier_arrows_Lore"								"Ice-encased arrows pierce the silence, chilling their victims to the core."
		"DOTA_Tooltip_ability_holdout_glacier_arrows_Note0"								"The slow duration is refreshed on successive casts."
		"DOTA_Tooltip_ability_holdout_glacier_arrows_frost_arrows_movement_speed"		"%MOVE SPEED:"
		"DOTA_Tooltip_ability_holdout_glacier_arrows_duration"							"<font color='#70EA72'>KNOCKBACK DURATION:</font>"
		"DOTA_Tooltip_ability_holdout_glacier_arrows_slow_duration"						"SLOW DURATION:"
		"DOTA_Tooltip_ability_holdout_glacier_arrows_knockback_distance"				"<font color='#70EA72'>KNOCKBACK DISTANCE:</font>"
		
		"DOTA_Tooltip_ability_omniknight_degen_aura_datadriven"									"Degen Aura"
        "DOTA_Tooltip_ability_omniknight_degen_aura_datadriven_Description"						"Greatly degenerates the movement and attack capabilities of enemy units that stray too near, including Spell Immune enemies, while giving Omni Knight a chance to deal bonus damage."
        "DOTA_Tooltip_ability_omniknight_degen_aura_datadriven_Lore"								"The holy embodiment of Purist Thunderwrath is enough to weaken those of lesser faith."
        "DOTA_Tooltip_ability_omniknight_degen_aura_datadriven_radius"								"RADIUS:"
        "DOTA_Tooltip_ability_omniknight_degen_aura_datadriven_speed_bonus"						"%MOVEMENT SLOW:"
        "DOTA_Tooltip_ability_omniknight_degen_aura_datadriven_attack_bonus_tooltip"				"ATTACK SLOW:"
        "DOTA_Tooltip_ability_omniknight_degen_aura_datadriven_crit_multiplier"   "CRIT MULTIPLIER:"
        "DOTA_Tooltip_ability_omniknight_degen_aura_datadriven_crit_chance"   "%CRIT CHANCE:"

		"DOTA_Tooltip_ability_vengefulspirit_magic_missile_datadriven"			"Magic Missiles"
		"DOTA_Tooltip_ability_vengefulspirit_magic_missile_datadriven_Description"			"Fires magic missiles at a group of enemy units, stunning and dealing damage."
		"DOTA_Tooltip_ability_vengefulspirit_magic_missile_datadriven_magic_missile_stun"			"STUN DURATION:"	
		"DOTA_Tooltip_ability_vengefulspirit_magic_missile_datadriven_radius"			"RADIUS:"	
		"DOTA_Tooltip_ability_vengefulspirit_magic_missile_datadriven_damage"			"DAMAGE:"	
		
		"DOTA_Tooltip_ability_creature_split_a"       "Spawns Mud Golems on death"
		"DOTA_Tooltip_ability_creature_split_b"       "Spawns wee Mud Babies on death"
		"DOTA_Tooltip_ability_golem_armour_aura"       "Small Armour Aura"
		"DOTA_Tooltip_ability_wolf_damage_aura"        "Wolf Damage Aura"
		
		"DOTA_Tooltip_Ability_holdout_ancient_apparition_ice_blast"			"Ice Blast"
		"DOTA_Tooltip_ability_holdout_ancient_apparition_ice_blast_Description"			"An explosive ball of icy hail that can be used to strike targets anywhere on the map."
		"DOTA_Tooltip_ice_blast_slow"										"Ice Blast Slow"
		
		"DOTA_Tooltip_ability_holdout_electric_vortex"								"Electric Vortex"
		"DOTA_Tooltip_ability_holdout_electric_vortex_Description"					"A vortex that pulls <font color='#70EA72'>all nearby enemy units to Storm Spirit's location.</font> It also slows the Storm Spirit by 50%% for 3 seconds."
		"DOTA_Tooltip_ability_holdout_electric_vortex_Lore"							"Raijin's thunderous, boisterous energy often draws others into an electrifying situation."
		"DOTA_Tooltip_ability_holdout_electric_vortex_duration"						"DURATION:"
		"DOTA_Tooltip_ability_holdout_electric_vortex_self_slow"					"SLOW:"
		"DOTA_Tooltip_ability_holdout_electric_vortex_radius"						"<font color='#70EA72'>RADIUS:</font>"

		"DOTA_Tooltip_ability_dark_seer_wall_of_discord"								"Wall of Discord"
		"DOTA_Tooltip_ability_dark_seer_wall_of_discord_Description"					"Raises a wall of warping light that damages any enemy unit who crosses it."
		"DOTA_Tooltip_ability_dark_seer_wall_of_discord_Lore"							"The Dark Seer, while unable to return to his natural realm, can channel part of the prismatic wall with powerful strength of mind, sowing destruction amongst enemy ranks."
		"DOTA_Tooltip_ability_dark_seer_wall_of_discord_Note1"							"Creates a wall 1000 units long, perpendicular to the line between Dark Seer and the target point."
		"DOTA_Tooltip_ability_dark_seer_wall_of_discord_damage"							"DAMAGE:"
		"DOTA_Tooltip_ability_dark_seer_wall_of_discord_duration"						"DURATION:"
		"DOTA_Tooltip_modifier_dark_seer_wall_of_discord_target"						"Wall of Discord"
		"DOTA_Tooltip_modifier_dark_seer_wall_of_discord_target_Description"			"Has been disrupted by Dark Seer's Wall of Discord."
		
		"DOTA_Tooltip_ability_dazzle_toughness_aura"								"Contagious Flamboyance"
		"DOTA_Tooltip_ability_dazzle_toughness_aura_Description"					"Grants Dazzle and all nearby allies bonus armour"
		"DOTA_Tooltip_ability_dazzle_toughness_aura_bonus_armor"							"ARMOUR:"

		"DOTA_Tooltip_ability_dazzle_poison_touch_datadriven"								"Poison Touch"
		"DOTA_Tooltip_ability_dazzle_poison_touch_datadriven_Description"					"Casts a poisonous spell in an AOE around an enemy unit, gradually slowing movement, and causing damage over time."
		"DOTA_Tooltip_ability_dazzle_poison_touch_datadriven_radius"							"RADIUS:"
		"DOTA_Tooltip_ability_dazzle_poison_touch_datadriven_duration_tooltip"							"POISON DURATION:"

		"DOTA_Tooltip_ability_necronomicon_warrior_last_will_datadriven"								"Last Will"
		
		"DOTA_Tooltip_ability_life_stealer_open_wounds_datadriven"								"Open Wounds"
		"DOTA_Tooltip_ability_life_stealer_open_wounds_datadriven_Description"					"Lifestealer rends a group of enemy units, slowing their movespeed, dealing damage over time and giving all allies lifesteal on those units."
		"DOTA_Tooltip_ability_life_stealer_open_wounds_datadriven_radius"							"RADIUS:"
		"DOTA_Tooltip_ability_life_stealer_open_wounds_datadriven_heal_percent"							"%LIFE LEECH:"
		"DOTA_Tooltip_ability_life_stealer_open_wounds_datadriven_duration"							"DURATION:"
		"DOTA_Tooltip_ability_life_stealer_open_wounds_datadriven_slow_tooltip"							"%MAX SLOW:"
		"DOTA_Tooltip_ability_life_stealer_open_wounds_datadriven_tooltip_range"					"CAST RANGE:"
		"DOTA_Tooltip_modifier_open_wounds"										"Effected by Open Wounds"

		"DOTA_Tooltip_ability_beastmaster_boar_poison"								"Poison"
		"DOTA_Tooltip_ability_beastmaster_boar_poison_Description"					"Slows enemy movement speed and attack speed for 3 seconds"
		"DOTA_Tooltip_ability_zombie_boar_poison"								"Poison"
		"DOTA_Tooltip_ability_zombie_boar_poison_Description"					"Slows movement speed 2 seconds"
		
		"DOTA_Tooltip_ability_zuus_thundergods_vengeance"									"Thundergod's Vengeance"
		"DOTA_Tooltip_ability_zuus_thundergods_vengeance_Description"						"Strikes %num_targets% enemy units with a bolt of lightning, within a large range around Zeus, prioritized based upon current health.  Thundergod's Vengeance also provides True Sight around each unit struck.  If an enemy unit is invisible, it takes no damage, but the True Sight is still created at that unit's location.\n\nUpgradable by Aghanim's Scepter."
		"DOTA_Tooltip_ability_zuus_thundergods_vengeance_Lore"								"The Lord of Heaven smites all who oppose him, near or far."
		"DOTA_Tooltip_ability_zuus_thundergods_vengeance_damage"							"DAMAGE:"
		"DOTA_Tooltip_ability_zuus_thundergods_vengeance_damage_scepter"					"SCEPTER DAMAGE:"
		"DOTA_Tooltip_ability_zuus_thundergods_vengeance_true_sight_radius"					"TRUE SIGHT RADIUS:"
		"DOTA_Tooltip_ability_zuus_thundergods_vengeance_sight_duration"					"DURATION:"
		"DOTA_Tooltip_ability_zuus_thundergods_vengeance_aghanim_description"				"Increases damage."

		"DOTA_Tooltip_ability_vengefulspirit_rage"									"Flightless Revenge"
		"DOTA_Tooltip_ability_vengefulspirit_rage_Description"						"Vengeful Spirit's thirst for vindiction increases her attack and movement speed\n\nUpgradable by Aghanim's Scepter."
		"DOTA_Tooltip_ability_vengefulspirit_rage_bonus_attack_speed"							"ATTACK SPEED:"
		"DOTA_Tooltip_ability_vengefulspirit_rage_bonus_range_scepter"					"SCEPTER RANGE:"
		"DOTA_Tooltip_ability_vengefulspirit_rage_bonus_movement_speed"					"MOVEMENT SPEED:"
		"DOTA_Tooltip_ability_vengefulspirit_rage_aghanim_description"				"Increases attack range."

		"DOTA_Tooltip_ability_medusa_split_shot_datadriven"									"Multi Arrow"
		"DOTA_Tooltip_ability_medusa_split_shot_datadriven_Description"						"Drow loads her bow with additional arrows with which to combat the Horde"
		"DOTA_Tooltip_ability_medusa_split_shot_datadriven_damage_modifier"							"PERCENTAGE DAMAGE REDUCTION:"
		"DOTA_Tooltip_ability_medusa_split_shot_datadriven_arrow_count"					"ADDITIONAL ARROW COUNT:"		
		
		//items
		
		"item_bag_of_gold_datadriven"                       "Gold Bag"
	    "DOTA_Tooltip_ability_item_bag_of_gold_datadriven"  "Gold Bag"
	
		"DOTA_Tooltip_ability_item_death_stone"		"Death Stone"
	    "DOTA_Tooltip_ability_item_death_stone_Description"	                              "Fires pure energy that damages enemies in a wide area - also grants 1 mana regen for each charge."
	    "DOTA_Tooltip_ability_item_death_stone_cooldown"	                              "COOLDOWN:"
	    "DOTA_Tooltip_ability_item_death_stone_bonus_intellect"	                          "+Intelligence"
	    "DOTA_Tooltip_ability_item_death_stone_bonus_all_stats"	                          "+Stats"
	    "DOTA_Tooltip_ability_item_death_stone_bonus_damage"	                          "+Damage"
	    "DOTA_Tooltip_ability_item_death_stone_bonus_health_regen"	              "+HP Regeneration"
	    "DOTA_Tooltip_ability_item_death_stone_bonus_mana_regen_percentage"	              "%+Mana Regeneration"
	    "DOTA_Tooltip_ability_item_death_stone_bonus_health"	             		   	 "+$health"	
	    "DOTA_Tooltip_ability_item_death_stone_bonus_mana"	             		   	 "+$mana"
	    "DOTA_Tooltip_ability_item_death_stone_damage"	                                  "DAMAGE:"	
	    "DOTA_Tooltip_ability_item_death_stone_range_tooltip"	                          "RANGE:"
	    "DOTA_Tooltip_ability_item_death_stone_radius"	                                  "RADIUS:"
		
		"DOTA_Tooltip_ability_item_king_rapier"	                                 "King Rapier"
	    "DOTA_Tooltip_ability_item_king_rapier_Description"	                                 "The ultimate weapon for raw damage output - grants truestrike and minibash"
	    "DOTA_Tooltip_ability_item_king_rapier_bonus_damage"	                                 "+Damage"
	    "DOTA_Tooltip_ability_item_king_rapier_bonus_attack_speed"	                                 "+Attack Speed"
	    "DOTA_Tooltip_ability_item_king_rapier_bash_chance"	                                 "%BASH CHANCE"
	    "DOTA_Tooltip_ability_item_king_rapier_bash_damage"	                                  "BASH DAMAGE:"
	    "DOTA_Tooltip_ability_item_king_rapier_bash_stun"	                                  "BASH STUN:"	

		"DOTA_Tooltip_ability_item_aether_lens_2"	                                 "Aether Lens 2"
	    "DOTA_Tooltip_ability_item_aether_lens_2_Description"                     "Passive: Increases spell cast range by %cast_range_bonus% and spell damage output by %spell_amp%%%"
		"DOTA_Tooltip_ability_item_aether_lens_2_bonus_mana"                      "+$mana"
		"DOTA_Tooltip_ability_item_aether_lens_2_bonus_health_regen"              "+$hp_regen"
		"DOTA_Tooltip_ability_item_aether_lens_2_bonus_magical_armor"             "%+$spell_resist"
		"DOTA_Tooltip_ability_item_aether_lens_2_cast_range_bonus"                "+$cast_range"
		"DOTA_Tooltip_ability_item_aether_lens_2_spell_amp"                       "%SPELL DAMAGE AMP:"
		"DOTA_Tooltip_ability_item_aether_lens_2_Lore"                            ""

        "DOTA_Tooltip_ability_item_aether_lens_3"	                                 "Aether Lens 3"
        "DOTA_Tooltip_ability_item_aether_lens_3_Description"                     "Passive: Increases spell cast range by %cast_range_bonus% and spell damage output by %spell_amp%%%"
        "DOTA_Tooltip_ability_item_aether_lens_3_bonus_mana"                      "+$mana"
        "DOTA_Tooltip_ability_item_aether_lens_3_bonus_health_regen"              "+$hp_regen"
        "DOTA_Tooltip_ability_item_aether_lens_3_bonus_magical_armor"             "%+$spell_resist"
        "DOTA_Tooltip_ability_item_aether_lens_3_cast_range_bonus"                "+$cast_range"
        "DOTA_Tooltip_ability_item_aether_lens_3_spell_amp"                       "%SPELL DAMAGE AMP:"
        "DOTA_Tooltip_ability_item_aether_lens_3_Lore"                            ""

        "DOTA_Tooltip_ability_item_aether_lens_4"	                                 "Aether Lens 4"
        "DOTA_Tooltip_ability_item_aether_lens_4_Description"                     "Passive: Increases spell cast range by %cast_range_bonus% and spell damage output by %spell_amp%%%"
        "DOTA_Tooltip_ability_item_aether_lens_4_bonus_mana"                      "+$mana"
        "DOTA_Tooltip_ability_item_aether_lens_4_bonus_health_regen"              "+$hp_regen"
        "DOTA_Tooltip_ability_item_aether_lens_4_bonus_magical_armor"             "%+$spell_resist"
        "DOTA_Tooltip_ability_item_aether_lens_4_cast_range_bonus"                "+$cast_range"
        "DOTA_Tooltip_ability_item_aether_lens_4_spell_amp"                       "%SPELL DAMAGE AMP:"
        "DOTA_Tooltip_ability_item_aether_lens_4_Lore"                            ""

        "DOTA_Tooltip_ability_item_aether_lens_5"	                              "Aether Lens 5"
        "DOTA_Tooltip_ability_item_aether_lens_5_Description"                     "Passive: Increases spell cast range by %cast_range_bonus% and spell damage output by %spell_amp%%%"
        "DOTA_Tooltip_ability_item_aether_lens_5_bonus_mana"                      "+$mana"
        "DOTA_Tooltip_ability_item_aether_lens_5_bonus_health_regen"              "+$hp_regen"
        "DOTA_Tooltip_ability_item_aether_lens_5_bonus_magical_armor"             "%+$spell_resist"
        "DOTA_Tooltip_ability_item_aether_lens_5_cast_range_bonus"                "+$cast_range"
        "DOTA_Tooltip_ability_item_aether_lens_5_spell_amp"                       "%SPELL DAMAGE AMP:"
        "DOTA_Tooltip_ability_item_aether_lens_5_Lore"                            ""

		"DOTA_Tooltip_ability_item_helm_of_madness"	                                 "Helm of Oppression"
	    "DOTA_Tooltip_ability_item_helm_of_madness_Description"	                                 "Active: Take control of a creep."
	    "DOTA_Tooltip_ability_item_helm_of_madness_bonus_damage"	                                 "+Damage"
	    "DOTA_Tooltip_ability_item_helm_of_madness_bonus_regen"	                                 "+HP Regeneration"
	    "DOTA_Tooltip_ability_item_helm_of_madness_bonus_armor"	                                 "+$armor"
	    "DOTA_Tooltip_ability_item_helm_of_madness_bonus_attack_speed"	                                  "+Attack Speed"
	    "DOTA_Tooltip_ability_item_helm_of_madness_lifesteal_percent"	                                  "%LIFESTEAL:"	

		"DOTA_Tooltip_ability_item_bfury_datadriven"	                                 "War Fury"
	    "DOTA_Tooltip_ability_item_bfury_datadriven_Description"							"Active: Chop Tree/Ward - Destroy a target tree or ward. Chop cast range is increased when targetting wards.\nPassive: Quell - Increases attack damage against non-hero units, based on whether the equipped hero is ranged or melee. Does not provide bonus damage against Roshan.\nPassive: Cleave - Deals a percent of attack damage in a %cleave_radius% area around the target. Ranged units cannot Cleave."
		"DOTA_Tooltip_ability_item_bfury_datadriven_Lore"									"The bearer of this mighty axe gains the ability to cut down swaths of enemies at once."
		"DOTA_Tooltip_ability_item_bfury_datadriven_Note0"									"Cleave damage is reduced by armor type but not by armor value."
		"DOTA_Tooltip_ability_item_bfury_datadriven_Note1"									"Cleave damage goes through spell immunity."
		"DOTA_Tooltip_ability_item_bfury_datadriven_Note2"									"If multiple sources of Cleave are present, each Cleave's damage is applied separately."
		"DOTA_Tooltip_ability_item_bfury_datadriven_Note3"									"Chop can be used to destroy Techies' Land Mines and Remote Mines."
		"DOTA_Tooltip_ability_item_bfury_datadriven_bonus_damage"							"+$damage"
		"DOTA_Tooltip_ability_item_bfury_datadriven_bonus_health_regen"					"+$hp_regen"
		"DOTA_Tooltip_ability_item_bfury_datadriven_bonus_mana_regen"						"%+$mana_regen"
		"DOTA_Tooltip_ability_item_bfury_datadriven_cleave_damage_percent"	"%CLEAVE DAMAGE:"
		"DOTA_Tooltip_ability_item_bfury_datadriven_quelling_bonus"					"%QUELL MELEE DAMAGE:"
